Track Name,Artist Names,Album Name,Track ID
Happier (feat. Oli Sykes of Bring Me The Horizon),"YUNGBLUD, Oli Sykes, Bring Me The Horizon",Happier (feat. Oli Sykes of Bring Me The Horizon),0UNDrAptMY5glGrcdr93Kx
Normal People Things,Lovejoy,Normal People Things,1vJmd8YIIAz6XQ9GHlUr5p
Spirit,The Killers,Rebel Diamonds,29ZJZnAXJ28Bewit5RLRKx
bella,EKKSTACY,bella / i can't find anyone,2i5q9JRYHVkPNegErZ2WvA
Black Dress,070 Shake,Black Dress,4pchG0mOBAJoXXu1vmwyTY
Bubblegum Dog,MGMT,Bubblegum Dog,5MHNVfob6U5PBe8y15A4MG
Cheese (feat. PawPaw Rod & Valerie June),"GROUPLOVE, PawPaw Rod, Valerie June",Cheese (feat. PawPaw Rod & Valerie June),4IttML3TgHecmpPe0Ytffs
Northern Attitude (with Hozier),"Noah Kahan, Hozier",Northern Attitude (with Hozier),4oEf84vBYVftf6KmZexhVo
You First (Re: Remi Wolf),"Paramore, Remi Wolf",Re: This Is Why,4w34xOG4R20bcijSufbq8l
Seasons,Thirty Seconds To Mars,Seasons,5AVwPRQ5X1pNqYrHd1cjli
Run Away With Me,Cold War Kids,Run Away With Me,2DUt3aAwcVeeHwcQPjFqLH
Heartbeat Highway,Cannons,Heartbeat Highway,2YbJ0qJ5uqOPfLGvqMLkaK
nice to know you,lovelytheband,nice to know you,5YgTlbMcCbpzwEA8D67rxM
What Doesn't Kill You Makes You Paranoid,The Beaches,What Doesn't Kill You Makes You Paranoid,1na4kP9vFyaXHq8ZOGOC16
We Need More Bricks,Neck Deep,We Need More Bricks,5F3HNBitIp7FkxhBl8SNgW
Sure Enough,Two Door Cinema Club,Sure Enough,2RI2HBUx4Algf7PVTklzUM
Heading For The Door,Royel Otis,Heading For The Door,0IvBk9CGkWu6U91u9t7nXW
u come near,bby,u come near,4C5JVzRg7ca8TtVfwJBnXN
Losing My Head,Neon Trees,Losing My Head,71dHLCNMxrjaI7kGDiwZc3
With You,Oliver Tree,Alone In A Crowd,44KmuZ16Pj6t9vCenzwxxa
Alma Mater,Bleachers,Alma Mater,0XJ5H4jtFNrlywhYkhjCcb
Madonna,Kevin Abstract,Madonna,3FvmEqbtSbggcZUnevF5Ng
Conceited,Lola Young,Conceited,2Iv1yhxAH7m9SpohnJMs9B
The Place That Makes Me Happy,The Moss,The Place That Makes Me Happy,6fOemgTsBaM10g8Rz3unmT
Black Friday,Tom Odell,Black Friday,1XTY6rA7XQosc0ynkkE9kN
Rumors,"Ross Lynch, THE DRIVER ERA",Rumors,7vUNVm5CpZLHDlkRiOJJc5
Elevator Hum,Declan McKenna,Elevator Hum,3MPLwP2T5FQ2vtJiDvn79Q
Glass House,Joe P,Glass House,6SIKqz0nWVP5OoYDHb7Jwx
Black Balloons,The Rare Occasions,Black Balloons,6GcGjg0IfSzcnlrATESE4S
Cold Tea,New West,Cold Tea,597KzBs4KvD6HavNl0yiG1
As You Are,Day Wave,As You Are,2ESCxmLAUmOPPWlUtbCMDo
Pretty Vicious,The Struts,Pretty Vicious,0qIOCd5RPUKObKu9FTWRaz
Young In America,Barns Courtney,Young In America,0Ef2EJ0YndF0GZMQHsrOvt
Fired Up,Plain White T's,Fired Up,1kvOZ36ekbzUGIA9QHmZIH
Impossible,Teezo Touchdown,How Do You Sleep At Night?,6DrrY8ardpYRyF90mzN0jF
Mono No Aware,WALK THE MOON,The Liftaway,0uXiUM49olUGEwgfFQpv1y
Deep End,The Score,Deep End,25xNO6EC6RPmBpBZOblOOW
"Deep End (from ""Aquaman and the Lost Kingdom"")",X Ambassadors,"Deep End (from ""Aquaman and the Lost Kingdom"")",20xiB92NDhWtM4sqXUreQU
